study-order,layer,group,course,topic-id,topic-code,topic-name,question-number,question-numbers,question-id,source-blank-count,canonical-occurrences,active-copy-occurrences,total-occurrences,current-types,marker-occurrences,ledger-status,seed-state,seed-source,keyboard-answer,correct-label,correct-content,source-prompt,current-content,layout-template,canonical-placements,active-copy-placements
330,45,Mathematical-Foundations,MF1,89,MF1.11.2.6,Factoring Trinomials,9,9,224876,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,(y - 12)(y - 4),,,"Factor the following quadratic expression.[MATH: y^{2} − 16y + 48 =]
[FREE_ENTRY 1]","Factor the following quadratic expression.$y^{2} - 16y + 48 =$

Answer: ==(y - 12)(y - 4)==.","Factor the following quadratic expression.$y^{2} - 16y + 48 =$

Answer: ==(y - 12)(y - 4)==.",vault/MA/Mathematical-Foundations/MF1/11. Polynomials/11.2. Factoring Polynomials/Lessons/11.2.6. Factoring Trinomials.md,
331,45,Mathematical-Foundations,MF2,813,MF2.1.1.1,Introduction to Quadratic Equations,3,3,221823,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,21,,,The constant term in the equation [MATH: x^{2} + 12x + 21 = 0] is[FREE_ENTRY 1].,"The constant term in the equation $x^{2} + 12x + 21 = 0$ is

Answer: ==21==.","The constant term in the equation $x^{2} + 12x + 21 = 0$ is

Answer: ==21==.",vault/MA/Mathematical-Foundations/MF2/1. Quadratics/1.1. Quadratic Equations/Lessons/1.1.1. Introduction to Quadratic Equations.md,
332,45,Mathematical-Foundations,MF2,813,MF2.1.1.1,Introduction to Quadratic Equations,6,6,218426,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,4x^2 - 3x - 6 = 0,,,Write the quadratic equation [MATH: 6x^{2} + 2x − 6 = 2x^{2} + 5x] in standard form.[FREE_ENTRY 1][MATH: − 6 = 0],"Write the quadratic equation $6x^{2} + 2x - 6 = 2x^{2} + 5x$ in standard form.

Answer: ==4x^2 - 3x - 6 = 0==.","Write the quadratic equation $6x^{2} + 2x - 6 = 2x^{2} + 5x$ in standard form.

Answer: ==4x^2 - 3x - 6 = 0==.",vault/MA/Mathematical-Foundations/MF2/1. Quadratics/1.1. Quadratic Equations/Lessons/1.1.1. Introduction to Quadratic Equations.md,
333,45,Mathematical-Foundations,MF2,813,MF2.1.1.1,Introduction to Quadratic Equations,8,8,221838,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,z^2 - 3z - 2 = 0,,,Write the quadratic equation [MATH: (z − 2)(2z + 1) = z^{2}] in standard form.[FREE_ENTRY 1][MATH: − 2 = 0],"Write the quadratic equation $(z - 2)(2z + 1) = z^{2}$ in standard form.

Answer: ==z^2 - 3z - 2 = 0==.","Write the quadratic equation $(z - 2)(2z + 1) = z^{2}$ in standard form.

Answer: ==z^2 - 3z - 2 = 0==.",vault/MA/Mathematical-Foundations/MF2/1. Quadratics/1.1. Quadratic Equations/Lessons/1.1.1. Introduction to Quadratic Equations.md,
334,45,Mathematical-Foundations,MF2,1427,MF2.8.1.2,Perpendicular Lines in the Coordinate Plane,5,5,215415,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,-3,,,"The lines [MATH: y = (1)/(3)x + 2] and [MATH: y = kx − 1] are perpendicular. What is the value of [MATH: k?][MATH: k =]
[FREE_ENTRY 1]","The lines $y = \frac{1}{3}x + 2$ and $y = kx - 1$ are perpendicular. What is the value of $k$?

Answer: ==-3==.","The lines $y = \frac{1}{3}x + 2$ and $y = kx - 1$ are perpendicular. What is the value of $k$?

Answer: ==-3==.",vault/MA/Mathematical-Foundations/MF2/8. Geometry/8.1. Coordinate Geometry/Lessons/8.1.2. Perpendicular Lines in the Coordinate Plane.md,
335,45,Mathematical-Foundations,MF2,1427,MF2.8.1.2,Perpendicular Lines in the Coordinate Plane,6,6,215416,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,2,,,"The lines [MATH: y = 3x − 5] and [MATH: tx + 6y = 4] are perpendicular. What is the value of [MATH: t?][MATH: t =]
[FREE_ENTRY 1]","The lines $y = 3x - 5$ and $tx + 6y = 4$ are perpendicular. What is the value of $t$?

Answer: ==2==.","The lines $y = 3x - 5$ and $tx + 6y = 4$ are perpendicular. What is the value of $t$?

Answer: ==2==.",vault/MA/Mathematical-Foundations/MF2/8. Geometry/8.1. Coordinate Geometry/Lessons/8.1.2. Perpendicular Lines in the Coordinate Plane.md,
336,45,Mathematical-Foundations,MF2,1427,MF2.8.1.2,Perpendicular Lines in the Coordinate Plane,7,7,215417,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,3,,,"The lines [MATH: 2x − 3y = − 6] and [MATH: kx + 2y = 2] are perpendicular. What is the value of [MATH: k?][MATH: k =]
[FREE_ENTRY 1]","The lines $2x - 3y =-6$ and $kx + 2y = 2$ are perpendicular. What is the value of $k$?

Answer: ==3==.","The lines $2x - 3y =-6$ and $kx + 2y = 2$ are perpendicular. What is the value of $k$?

Answer: ==3==.",vault/MA/Mathematical-Foundations/MF2/8. Geometry/8.1. Coordinate Geometry/Lessons/8.1.2. Perpendicular Lines in the Coordinate Plane.md,
337,45,Mathematical-Foundations,MF2,1427,MF2.8.1.2,Perpendicular Lines in the Coordinate Plane,8,8,215418,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,-3,,,"Find the equation of the line that is perpendicular to [MATH: y = 2] and passes through the point [MATH: (− 3, 4).] Write your answer in standard form.[FREE_ENTRY 1] [MATH: =]
[FREE_ENTRY 2]","The line perpendicular to $y=2$ through $(-3,4)$ is $x =$ ==-3==.","The line perpendicular to $y=2$ through $(-3,4)$ is $x =$ ==-3==.",vault/MA/Mathematical-Foundations/MF2/8. Geometry/8.1. Coordinate Geometry/Lessons/8.1.2. Perpendicular Lines in the Coordinate Plane.md,
338,45,Mathematical-Foundations,MF2,1427,MF2.8.1.2,Perpendicular Lines in the Coordinate Plane,9,9,215951,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,6,,,"Find the equation of the line that is perpendicular to [MATH: x = (1)/(3)] and passes through the point [MATH: (7, 6).] Write your answer in standard form.[FREE_ENTRY 1] [MATH: =]
[FREE_ENTRY 2]","The line perpendicular to $x=1/3$ through $(7,6)$ is $y =$ ==6==.","The line perpendicular to $x=1/3$ through $(7,6)$ is $y =$ ==6==.",vault/MA/Mathematical-Foundations/MF2/8. Geometry/8.1. Coordinate Geometry/Lessons/8.1.2. Perpendicular Lines in the Coordinate Plane.md,
339,45,Mathematical-Foundations,MF2,459,MF2.8.1.5,The Distance Formula,2,2,214934,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,3sqrt(5),,,The exact length of [MATH: CD^(―)] is[FREE_ENTRY 1].,"![](<../Source/8.1.5. The Distance Formula/Images/q-214934.png>)

The exact length of $CD^(―)$ is

Answer: ==3sqrt(5)==.","{{image-1}}

The exact length of $CD^(―)$ is

Answer: ==3sqrt(5)==.",vault/MA/Mathematical-Foundations/MF2/8. Geometry/8.1. Coordinate Geometry/Lessons/8.1.5. The Distance Formula.md,
340,45,Mathematical-Foundations,MF2,459,MF2.8.1.5,The Distance Formula,4,4,216298,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,sqrt(101),,,"The exact distance between the points [MATH: (3, 6)] and [MATH: (2, − 4)] is[FREE_ENTRY 1].","The exact distance between the points $(3, 6)$ and $(2,-4)$ is

Answer: ==sqrt(101)==.","The exact distance between the points $(3, 6)$ and $(2,-4)$ is

Answer: ==sqrt(101)==.",vault/MA/Mathematical-Foundations/MF2/8. Geometry/8.1. Coordinate Geometry/Lessons/8.1.5. The Distance Formula.md,
341,45,Mathematical-Foundations,MF2,459,MF2.8.1.5,The Distance Formula,5,5,214936,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,sqrt(30),,,"The exact distance between the points [MATH: (2sqrt(6), − sqrt(6))] and [MATH: (4sqrt(6), − 2sqrt(6))] is[FREE_ENTRY 1].","The exact distance between the points $(2\sqrt{6},-\sqrt{6})$ and $(4\sqrt{6},-2\sqrt{6})$ is

Answer: ==sqrt(30)==.","The exact distance between the points $(2\sqrt{6},-\sqrt{6})$ and $(4\sqrt{6},-2\sqrt{6})$ is

Answer: ==sqrt(30)==.",vault/MA/Mathematical-Foundations/MF2/8. Geometry/8.1. Coordinate Geometry/Lessons/8.1.5. The Distance Formula.md,
342,46,Mathematical-Foundations,MF1,1045,MF1.6.3.6,Systems of Linear Equations With Fractional Coefficients,2,2,215741,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"6, 2",,,"[MATH: {a + 4b = 14; (3)/(2)a − 2b = 5]

Find the solution to the system of equations given above.

[MATH: a =]
[FREE_ENTRY 1][MATH: , b =]
[FREE_ENTRY 2]","${a + 4b = 14; \frac{3}{2}a - 2b = 5$

Find the solution to the system of equations given above.

Enter the blanks from left to right: ==6==, ==2==.","${a + 4b = 14; \frac{3}{2}a - 2b = 5$

Find the solution to the system of equations given above.

Enter the blanks from left to right: ==6==, ==2==.",vault/MA/Mathematical-Foundations/MF1/6. Two-Variable Equations/6.3. Systems of Linear Equations/Lessons/6.3.6. Systems of Linear Equations With Fractional Coefficients.md,
343,46,Mathematical-Foundations,MF1,1045,MF1.6.3.6,Systems of Linear Equations With Fractional Coefficients,3,3,216178,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"6, 3",,,"Solve the following system of equations:

[MATH: {− (5)/(2)a + 3b = − 6; (5)/(3)a − (1)/(3)b = 9]

[MATH: a =]
[FREE_ENTRY 1][MATH: , b =]
[FREE_ENTRY 2]","Solve the following system of equations:

${-\frac{5}{2}a + 3b =-6; \frac{5}{3}a - \frac{1}{3}b = 9$

Enter the blanks from left to right: ==6==, ==3==.","Solve the following system of equations:

${-\frac{5}{2}a + 3b =-6; \frac{5}{3}a - \frac{1}{3}b = 9$

Enter the blanks from left to right: ==6==, ==3==.",vault/MA/Mathematical-Foundations/MF1/6. Two-Variable Equations/6.3. Systems of Linear Equations/Lessons/6.3.6. Systems of Linear Equations With Fractional Coefficients.md,
344,46,Mathematical-Foundations,MF1,1045,MF1.6.3.6,Systems of Linear Equations With Fractional Coefficients,4,4,216326,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"2, -3",,,"Find the solution to the following system of equations:

[MATH: {(5)/(2)x + y = 2; 4x + (2)/(3)y = 6]

[MATH: x =]
[FREE_ENTRY 1][MATH: , y =]
[FREE_ENTRY 2]","Find the solution to the following system of equations:

${\frac{5}{2}x + y = 2; 4x + \frac{2}{3}y = 6$

Enter the blanks from left to right: ==2==, ==-3==.","Find the solution to the following system of equations:

${\frac{5}{2}x + y = 2; 4x + \frac{2}{3}y = 6$

Enter the blanks from left to right: ==2==, ==-3==.",vault/MA/Mathematical-Foundations/MF1/6. Two-Variable Equations/6.3. Systems of Linear Equations/Lessons/6.3.6. Systems of Linear Equations With Fractional Coefficients.md,
345,46,Mathematical-Foundations,MF1,1045,MF1.6.3.6,Systems of Linear Equations With Fractional Coefficients,6,6,215749,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"4, 0",,,"[MATH: {v − 10w = 4; (v)/(7) + (5w)/(2) = (4)/(7)]

Find the solution to the system of equations given above.

[MATH: v =]
[FREE_ENTRY 1][MATH: , w =]
[FREE_ENTRY 2]","${v - 10w = 4; \frac{v}{7} + \frac{5w}{2} = \frac{4}{7}$

Find the solution to the system of equations given above.

Enter the blanks from left to right: ==4==, ==0==.","${v - 10w = 4; \frac{v}{7} + \frac{5w}{2} = \frac{4}{7}$

Find the solution to the system of equations given above.

Enter the blanks from left to right: ==4==, ==0==.",vault/MA/Mathematical-Foundations/MF1/6. Two-Variable Equations/6.3. Systems of Linear Equations/Lessons/6.3.6. Systems of Linear Equations With Fractional Coefficients.md,
346,46,Mathematical-Foundations,MF1,1045,MF1.6.3.6,Systems of Linear Equations With Fractional Coefficients,7,7,215755,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"1/2, 1/4",,,"[MATH: {(1)/(2)a + 3b = 1; (2)/(3)a + (8)/(3)b = 1]

Find the solution to the system of equations given above.

[MATH: a =]
[FREE_ENTRY 1][MATH: , b =]
[FREE_ENTRY 2]","${\frac{1}{2}a + 3b = 1; \frac{2}{3}a + \frac{8}{3}b = 1$

Find the solution to the system of equations given above.

Enter the blanks from left to right: ==1/2==, ==1/4==.","${\frac{1}{2}a + 3b = 1; \frac{2}{3}a + \frac{8}{3}b = 1$

Find the solution to the system of equations given above.

Enter the blanks from left to right: ==1/2==, ==1/4==.",vault/MA/Mathematical-Foundations/MF1/6. Two-Variable Equations/6.3. Systems of Linear Equations/Lessons/6.3.6. Systems of Linear Equations With Fractional Coefficients.md,
347,46,Mathematical-Foundations,MF1,1045,MF1.6.3.6,Systems of Linear Equations With Fractional Coefficients,8,8,215762,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"-1, -2",,,"[MATH: {(1)/(2)x − (2)/(3)y = (5)/(6); − (5)/(6)x + (1)/(3)y = (1)/(6)]

Find the solution to the system of equations given above.

[MATH: x =]
[FREE_ENTRY 1][MATH: , y =]
[FREE_ENTRY 2]","${\frac{1}{2}x - \frac{2}{3}y = \frac{5}{6}; - \frac{5}{6}x + \frac{1}{3}y = \frac{1}{6}$

Find the solution to the system of equations given above.

Enter the blanks from left to right: ==-1==, ==-2==.","${\frac{1}{2}x - \frac{2}{3}y = \frac{5}{6}; - \frac{5}{6}x + \frac{1}{3}y = \frac{1}{6}$

Find the solution to the system of equations given above.

Enter the blanks from left to right: ==-1==, ==-2==.",vault/MA/Mathematical-Foundations/MF1/6. Two-Variable Equations/6.3. Systems of Linear Equations/Lessons/6.3.6. Systems of Linear Equations With Fractional Coefficients.md,
348,46,Mathematical-Foundations,MF1,493,MF1.6.3.9,Systems of Equations With No Solutions and Infinitely Many Solutions,7,7,208832,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,(x + 3)/4,,,"Describe the points that lie on the intersection of the lines [MATH: x − 4y = − 3] and [MATH: 2x − 8y = − 6.] Express your answer in terms of [MATH: x] only.The intersection points are [MATH: (x,]
[FREE_ENTRY 1]
[MATH: ),] where [MATH: x] is any number.","The lines $x-4y=-3$ and $2x-8y=-6$ coincide.

Their points are $(x,$ ==(x + 3)/4==$)$, where $x$ is any number.","The lines $x-4y=-3$ and $2x-8y=-6$ coincide.

Their points are $(x,$ ==(x + 3)/4==$)$, where $x$ is any number.",vault/MA/Mathematical-Foundations/MF1/6. Two-Variable Equations/6.3. Systems of Linear Equations/Lessons/6.3.9. Systems of Equations With No Solutions and Infinitely Many Solutions.md,
349,46,Mathematical-Foundations,MF1,372,MF1.11.2.8,Factoring Trinomials With Leading Coefficients,2,2,213910,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,(2x + 3)(x + 2),,,"Factor the following quadratic expression.[MATH: 2x^{2} + 7x + 6 =]
[FREE_ENTRY 1]","Factor the following quadratic expression. $2x^{2} + 7x + 6 =$

Answer: ==(2x + 3)(x + 2)==.","Factor the following quadratic expression. $2x^{2} + 7x + 6 =$

Answer: ==(2x + 3)(x + 2)==.",vault/MA/Mathematical-Foundations/MF1/11. Polynomials/11.2. Factoring Polynomials/Lessons/11.2.8. Factoring Trinomials With Leading Coefficients.md,
350,46,Mathematical-Foundations,MF1,372,MF1.11.2.8,Factoring Trinomials With Leading Coefficients,4,4,224927,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,(2a - 1)(a + 1),,,"Factor the following quadratic expression.[MATH: 2a^{2} + a − 1 =]
[FREE_ENTRY 1]","Factor the following quadratic expression. $2a^{2} + a - 1 =$

Answer: ==(2a - 1)(a + 1)==.","Factor the following quadratic expression. $2a^{2} + a - 1 =$

Answer: ==(2a - 1)(a + 1)==.",vault/MA/Mathematical-Foundations/MF1/11. Polynomials/11.2. Factoring Polynomials/Lessons/11.2.8. Factoring Trinomials With Leading Coefficients.md,
351,46,Mathematical-Foundations,MF1,372,MF1.11.2.8,Factoring Trinomials With Leading Coefficients,8,8,224896,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,(6a - 1)(a - 4),,,"Factor the following quadratic expression.[MATH: 6a^{2} − 25a + 4 =]
[FREE_ENTRY 1]","Factor the following quadratic expression. $6a^{2} - 25a + 4 =$

Answer: ==(6a - 1)(a - 4)==.","Factor the following quadratic expression. $6a^{2} - 25a + 4 =$

Answer: ==(6a - 1)(a - 4)==.",vault/MA/Mathematical-Foundations/MF1/11. Polynomials/11.2. Factoring Polynomials/Lessons/11.2.8. Factoring Trinomials With Leading Coefficients.md,
352,46,Mathematical-Foundations,MF1,372,MF1.11.2.8,Factoring Trinomials With Leading Coefficients,9,9,224920,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,(4x - 3)(x - 3),,,"Factor the following quadratic expression.[MATH: 4x^{2} − 15x + 9 =]
[FREE_ENTRY 1]","Factor the following quadratic expression. $4x^{2} - 15x + 9 =$

Answer: ==(4x - 3)(x - 3)==.","Factor the following quadratic expression. $4x^{2} - 15x + 9 =$

Answer: ==(4x - 3)(x - 3)==.",vault/MA/Mathematical-Foundations/MF1/11. Polynomials/11.2. Factoring Polynomials/Lessons/11.2.8. Factoring Trinomials With Leading Coefficients.md,
353,46,Mathematical-Foundations,MF1,6207,MF1.12.3.2,Non-Adjacent Complementary Angles,2,2,300874,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,55 + 2x,,,"Let [MATH: ∠C] and [MATH: ∠D] be two complementary angles such that [MATH: m∠C = (35 − 2x)^{∘}.] Find the measure of [MATH: ∠D.][MATH: m∠D = (]
[FREE_ENTRY 1]
[MATH: )^{∘}]","Angles $C$ and $D$ are complementary, with $m\angle C=(35-2x)^\circ$.

$m\angle D=( $==55 + 2x==$ )^\circ$.","Angles $C$ and $D$ are complementary, with $m\angle C=(35-2x)^\circ$.

$m\angle D=( $==55 + 2x==$ )^\circ$.",vault/MA/Mathematical-Foundations/MF1/12. Geometry Fundamentals/12.3. Advanced Angles/Lessons/12.3.2. Non-Adjacent Complementary Angles.md,
354,46,Mathematical-Foundations,MF1,6207,MF1.12.3.2,Non-Adjacent Complementary Angles,4,4,357032,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,6,,,"Let [MATH: ∠C] and [MATH: ∠D] be two complementary angles such that [MATH: m∠C = 7x + 4^{∘}] and [MATH: m∠D = 5x + 14^{∘}.] Find the value of [MATH: x.][MATH: x =]
[FREE_ENTRY 1][MATH: ^{∘}]","Angles $C$ and $D$ are complementary, with $m\angle C=7x+4^\circ$ and $m\angle D=5x+14^\circ$.

$x =$ ==6==.","Angles $C$ and $D$ are complementary, with $m\angle C=7x+4^\circ$ and $m\angle D=5x+14^\circ$.

$x =$ ==6==.",vault/MA/Mathematical-Foundations/MF1/12. Geometry Fundamentals/12.3. Advanced Angles/Lessons/12.3.2. Non-Adjacent Complementary Angles.md,
355,46,Mathematical-Foundations,MF2,1423,MF2.1.1.2,Solving Perfect Square Quadratic Equations,2,2,218640,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"-1/2, 2",,,"In ascending order, the solutions to [MATH: (4y − 3)^{2} = 25] are[MATH: y =][FREE_ENTRY 1]
and
[MATH: y =][FREE_ENTRY 2].","In **ascending order**, what are the solutions to $(4y - 3)^{2} = 25$?

Enter the blanks from left to right: ==-1/2==, ==2==.","In **ascending order**, what are the solutions to $(4y - 3)^{2} = 25$?

Enter the blanks from left to right: ==-1/2==, ==2==.",vault/MA/Mathematical-Foundations/MF2/1. Quadratics/1.1. Quadratic Equations/Lessons/1.1.2. Solving Perfect Square Quadratic Equations.md,
356,46,Mathematical-Foundations,MF2,1423,MF2.1.1.2,Solving Perfect Square Quadratic Equations,4,4,221818,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"-4, 1",,,"In ascending order, the solutions to [MATH: 3(2y + 3)^{2} − 5 = 70] are[MATH: y =][FREE_ENTRY 1]
and
[MATH: y =][FREE_ENTRY 2].","In **ascending order**, what are the solutions to $3(2y + 3)^{2} - 5 = 70$?

Enter the blanks from left to right: ==-4==, ==1==.","In **ascending order**, what are the solutions to $3(2y + 3)^{2} - 5 = 70$?

Enter the blanks from left to right: ==-4==, ==1==.",vault/MA/Mathematical-Foundations/MF2/1. Quadratics/1.1. Quadratic Equations/Lessons/1.1.2. Solving Perfect Square Quadratic Equations.md,
357,46,Mathematical-Foundations,MF2,1423,MF2.1.1.2,Solving Perfect Square Quadratic Equations,6,6,218661,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"-3/5, -1/5",,,"In ascending order, the solutions to [MATH: 25x^{2} + 20x + 4 = 1] are[MATH: x =][FREE_ENTRY 1]
and
[MATH: x =][FREE_ENTRY 2].","In **ascending order**, what are the solutions to $25x^{2} + 20x + 4 = 1$?

Enter the blanks from left to right: ==-3/5==, ==-1/5==.","In **ascending order**, what are the solutions to $25x^{2} + 20x + 4 = 1$?

Enter the blanks from left to right: ==-3/5==, ==-1/5==.",vault/MA/Mathematical-Foundations/MF2/1. Quadratics/1.1. Quadratic Equations/Lessons/1.1.2. Solving Perfect Square Quadratic Equations.md,
358,46,Mathematical-Foundations,MF2,1423,MF2.1.1.2,Solving Perfect Square Quadratic Equations,7,7,221851,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"(1 - sqrt(5))/3, (1 + sqrt(5))/3",,,"In ascending order, the solutions to [MATH: 36x^{2} − 24x + 4 = 20] are[MATH: x =][FREE_ENTRY 1]
and
[MATH: x =][FREE_ENTRY 2].","In **ascending order**, what are the solutions to $36x^{2} - 24x + 4 = 20$?

Enter the blanks from left to right: ==(1 - sqrt(5))/3==, ==(1 + sqrt(5))/3==.","In **ascending order**, what are the solutions to $36x^{2} - 24x + 4 = 20$?

Enter the blanks from left to right: ==(1 - sqrt(5))/3==, ==(1 + sqrt(5))/3==.",vault/MA/Mathematical-Foundations/MF2/1. Quadratics/1.1. Quadratic Equations/Lessons/1.1.2. Solving Perfect Square Quadratic Equations.md,
359,46,Mathematical-Foundations,MF2,2626,MF2.2.1.3,The Least Common Multiple of Two Polynomials,2,2,218482,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,30(w - 8),,,The least common multiple of [MATH: 6(w − 8)] and [MATH: 15(w − 8)] is[FREE_ENTRY 1].,"The least common multiple of $6(w - 8)$ and $15(w - 8)$ is

Answer: ==30(w - 8)==.","The least common multiple of $6(w - 8)$ and $15(w - 8)$ is

Answer: ==30(w - 8)==.",vault/MA/Mathematical-Foundations/MF2/2. Polynomials/2.1. Polynomials/Lessons/2.1.3. The Least Common Multiple of Two Polynomials.md,
360,46,Mathematical-Foundations,MF2,2626,MF2.2.1.3,The Least Common Multiple of Two Polynomials,4,4,222016,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,9(y + 7)^4,,,The least common multiple of [MATH: 9(y + 7)^{4}] and [MATH: 3(y + 7)^{2}] is[FREE_ENTRY 1].,"The least common multiple of $9(y + 7)^{4}$ and $3(y + 7)^{2}$ is

Answer: ==9(y + 7)^4==.","The least common multiple of $9(y + 7)^{4}$ and $3(y + 7)^{2}$ is

Answer: ==9(y + 7)^4==.",vault/MA/Mathematical-Foundations/MF2/2. Polynomials/2.1. Polynomials/Lessons/2.1.3. The Least Common Multiple of Two Polynomials.md,
361,46,Mathematical-Foundations,MF2,2626,MF2.2.1.3,The Least Common Multiple of Two Polynomials,5,5,218516,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,20u^3(v - 2)^5,,,The least common multiple of the polynomials [MATH: 4u^{3}(v − 2)^{2}] and [MATH: 5u(v − 2)^{5}] is[FREE_ENTRY 1].,"The least common multiple of the polynomials $4u^{3}(v - 2)^{2}$ and $5u(v - 2)^{5}$ is

Answer: ==20u^3(v - 2)^5==.","The least common multiple of the polynomials $4u^{3}(v - 2)^{2}$ and $5u(v - 2)^{5}$ is

Answer: ==20u^3(v - 2)^5==.",vault/MA/Mathematical-Foundations/MF2/2. Polynomials/2.1. Polynomials/Lessons/2.1.3. The Least Common Multiple of Two Polynomials.md,
362,46,Mathematical-Foundations,MF2,2626,MF2.2.1.3,The Least Common Multiple of Two Polynomials,7,7,218518,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,12(x + 1)^5,,,"The least common multiple of [MATH: 3(x + 1)^{3},] [MATH: 4(x + 1)^{2},] and [MATH: 6(x + 1)^{5}] is[FREE_ENTRY 1].","The least common multiple of $3(x + 1)^{3}$, $4(x + 1)^{2}$, and $6(x + 1)^{5}$ is

Answer: ==12(x + 1)^5==.","The least common multiple of $3(x + 1)^{3}$, $4(x + 1)^{2}$, and $6(x + 1)^{5}$ is

Answer: ==12(x + 1)^5==.",vault/MA/Mathematical-Foundations/MF2/2. Polynomials/2.1. Polynomials/Lessons/2.1.3. The Least Common Multiple of Two Polynomials.md,
363,46,Mathematical-Foundations,MF2,2626,MF2.2.1.3,The Least Common Multiple of Two Polynomials,8,8,218519,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,20u^3(v - 2)^4,,,"The least common multiple of the polynomials [MATH: 2u^{2}(v − 2)^{3}, 4u^{3}(v − 2)^{2},] and [MATH: 5u(v − 2)^{4}] is[FREE_ENTRY 1].","The least common multiple of the polynomials $2u^{2}(v - 2)^{3}, 4u^{3}(v - 2)^{2}$, and $5u(v - 2)^{4}$ is

Answer: ==20u^3(v - 2)^4==.","The least common multiple of the polynomials $2u^{2}(v - 2)^{3}, 4u^{3}(v - 2)^{2}$, and $5u(v - 2)^{4}$ is

Answer: ==20u^3(v - 2)^4==.",vault/MA/Mathematical-Foundations/MF2/2. Polynomials/2.1. Polynomials/Lessons/2.1.3. The Least Common Multiple of Two Polynomials.md,
364,46,Mathematical-Foundations,MF2,3556,MF2.8.1.1,Finding Equations of Parallel Lines,2,2,215701,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,x/2 + 6,,,"The equation of the line [MATH: l_{1}] is [MATH: y = (1)/(2)x] and the line [MATH: l_{2}] is parallel to [MATH: l_{1}.] What is the equation of [MATH: l_{2}?][MATH: y =]
[FREE_ENTRY 1]","![](<../Source/8.1.1. Finding Equations of Parallel Lines/Images/q-215701.png>)

The equation of $l_2$ is $y =$ ==x/2 + 6==.","{{image-1}}

The equation of $l_2$ is $y =$ ==x/2 + 6==.",vault/MA/Mathematical-Foundations/MF2/8. Geometry/8.1. Coordinate Geometry/Lessons/8.1.1. Finding Equations of Parallel Lines.md,
365,46,Mathematical-Foundations,MF2,3556,MF2.8.1.1,Finding Equations of Parallel Lines,3,3,216200,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,-2x + 2,,,"Find the equation of the line that passes through the point [MATH: (0, 2)] and is parallel to the line passing through the points [MATH: (2, 1)] and [MATH: (3, − 1).][MATH: y =]
[FREE_ENTRY 1]","The line through $(0,2)$ parallel to the line through $(2,1)$ and $(3,-1)$ has equation $y =$ ==-2x + 2==.","The line through $(0,2)$ parallel to the line through $(2,1)$ and $(3,-1)$ has equation $y =$ ==-2x + 2==.",vault/MA/Mathematical-Foundations/MF2/8. Geometry/8.1. Coordinate Geometry/Lessons/8.1.1. Finding Equations of Parallel Lines.md,
